company_name,domain,website_clean,priority_tier,tier_name,business_type,market_region,estimated_employees,currency,monthly_revenue_display,monthly_revenue_numeric,opportunity_value_display,opportunity_value_numeric,overall_score,digital_maturity_score,technology_readiness,digital_opportunity,website_performance_score,website_accessibility_score,website_seo_score,website_best_practices_score,website_overall_score,website_status,needs_improvement,outreach_priority,primary_pain_point,urgency_level,estimated_monthly_impact,success_probability,follow_up_timeline,talking_point_1,talking_point_2,talking_point_3,discovery_query,discovery_date,discovery_source,enrichment_status,enrichment_mode,enrichment_timestamp,lead_status,assigned_to,contact_priority,follow_up_date,notes,created_date,last_modified
"Family Dentistry in Vancouver, WA",vancouverdds.com › services › family-dent...,https://vancouverdds.com,2,Tier 2 - Gold,Dental,"Seattle, WA",5,USD,"USD $60,417",60416.66666666666,USD $183,182.7,0.898,49.5,Medium,Unknown,79,80,73,84,79.0,active,True,Platinum,Patient Scheduling Integration,Medium,4531.0,0.66,24 hours,Mobile-optimized sites capture 60% more emergency dental calls,Virtual consultation setup could serve 30% more patients,Professional website credibility directly impacts client acquisition,"(""vancouver"" OR ""seattle"") ""dental practice"" ""book online"" -directory",,SearchAPI Real Discovery,enriched,live,2025-07-30T17:17:20.683148,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:35:27.899933,2025-07-30T17:17:20.683148
Vancouver Dental Specialty Clinic - Prosthodontist & Cosmetic ...,vancouverdentalimplants.ca,https://vancouverdentalimplants.ca,2,Tier 2 - Gold,Dental,"Vancouver, BC",8,CAD,"CAD $96,667",96666.66666666669,CAD $292,292.32000000000005,0.886,49.5,Medium,Unknown,77,83,87,71,79.5,active,True,Platinum,Treatment Cost Calculator,Medium,7250.0,0.66,24 hours,Dental practices with online booking see 25% more appointments,Treatment cost calculators increase case acceptance by 40%,Professional website credibility directly impacts client acquisition,"site:*.ca ""vancouver"" (""dental clinic"" OR ""dental practice"") ""book appointment"" -chain -franchise",,SearchAPI Real Discovery,enriched,live,2025-07-30T17:17:20.683148,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:35:27.899933,2025-07-30T17:17:20.683148
Home - Experssions Clinic – Dental Clinic in Vancouver,expressionsclinics.ca,https://expressionsclinics.ca,2,Tier 2 - Gold,Dental,"Vancouver, BC",8,CAD,"CAD $96,667",96666.66666666669,CAD $268,267.96000000000004,0.886,49.5,High,Unknown,89,95,85,89,89.5,active,True,Platinum,Treatment Cost Calculator,Medium,7250.0,0.66,24 hours,Mobile-optimized sites capture 60% more emergency dental calls,Virtual consultation setup could serve 30% more patients,Professional website credibility directly impacts client acquisition,"site:*.ca ""vancouver"" (""dental clinic"" OR ""dental practice"") ""book appointment"" -chain -franchise",,SearchAPI Real Discovery,enriched,live,2025-07-30T17:17:20.683148,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:35:27.899933,2025-07-30T17:17:20.683148
"Dental Exams and Cleanings in Vancouver, BC",mydentistvancouver.ca › service › dental-exams-...,https://mydentistvancouver.ca,2,Tier 2 - Gold,Dental,"Vancouver, BC",8,CAD,"CAD $96,667",96666.66666666669,CAD $268,267.96000000000004,0.886,49.5,High,Unknown,84,83,86,92,86.2,active,True,Platinum,Virtual Consultation Setup,Medium,7250.0,0.66,24 hours,Insurance verification portals reduce administrative overhead by 45%,Treatment cost calculators increase case acceptance by 40%,Professional website credibility directly impacts client acquisition,"site:*.ca ""vancouver"" (""dental clinic"" OR ""dental practice"") ""book appointment"" -chain -franchise",,SearchAPI Real Discovery,enriched,live,2025-07-30T17:17:20.683148,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:35:27.899933,2025-07-30T17:17:20.683148
Vancouver Dentists & Dental Clinic by Deerwater Dental ...,deerwater.ca,https://deerwater.ca,2,Tier 2 - Gold,Dental,"Vancouver, BC",8,CAD,"CAD $96,667",96666.66666666669,CAD $268,267.96000000000004,0.886,49.5,Medium,Unknown,78,72,83,80,78.2,active,True,Platinum,Patient Scheduling Integration,Medium,7250.0,0.66,24 hours,Insurance verification portals reduce administrative overhead by 45%,Treatment cost calculators increase case acceptance by 40%,Professional website credibility directly impacts client acquisition,"site:*.ca ""vancouver"" (""dental clinic"" OR ""dental practice"") ""book appointment"" -chain -franchise",,SearchAPI Real Discovery,enriched,live,2025-07-30T17:17:20.683148,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:35:27.899933,2025-07-30T17:17:20.683148
Downtown Vancouver Dentist BC | Professional Dental Clinic ...,theartofsmile.ca,https://theartofsmile.ca,2,Tier 2 - Gold,Dental,"Vancouver, BC",8,CAD,"CAD $96,667",96666.66666666669,CAD $244,243.6,0.886,49.5,Medium,Unknown,75,72,85,64,74.0,active,True,Platinum,Treatment Cost Calculator,Medium,7250.0,0.66,24 hours,Dental practices with online booking see 25% more appointments,Treatment cost calculators increase case acceptance by 40%,Professional website credibility directly impacts client acquisition,"site:*.ca ""vancouver"" (""dental clinic"" OR ""dental practice"") ""book appointment"" -chain -franchise",,SearchAPI Real Discovery,enriched,live,2025-07-30T17:17:20.683148,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:35:27.899933,2025-07-30T17:17:20.683148
Our Services - Experssions Clinic – Dental Clinic in Vancouver,expressionsclinics.ca › our-services,https://expressionsclinics.ca,2,Tier 2 - Gold,Dental,"Vancouver, BC",8,CAD,"CAD $96,667",96666.66666666669,CAD $268,267.96000000000004,0.886,49.5,Medium,Unknown,69,66,69,60,66.0,active,True,Platinum,Website Speed Optimization,Medium,7250.0,0.66,24 hours,Website loading 50% slower than industry standard,Patient education content builds trust and increases referrals,1-second delay costs 7% conversion - immediate revenue impact,"site:*.ca ""vancouver"" (""dental clinic"" OR ""dental practice"") ""book appointment"" -chain -franchise",,SearchAPI Real Discovery,enriched,live,2025-07-30T17:17:20.683148,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:35:27.900983,2025-07-30T17:17:20.683148
Enhance Dental Centre: Dentist in Kitsilano Vancouver,vancouverdentistbc.ca,https://vancouverdentistbc.ca,2,Tier 2 - Gold,Dental,"Vancouver, BC",8,CAD,"CAD $96,667",96666.66666666669,CAD $268,267.96000000000004,0.886,49.5,Medium,Unknown,77,78,73,65,73.2,active,True,Platinum,Virtual Consultation Setup,Medium,7250.0,0.66,24 hours,Mobile-optimized sites capture 60% more emergency dental calls,Virtual consultation setup could serve 30% more patients,Professional website credibility directly impacts client acquisition,"site:*.ca ""vancouver"" (""dental clinic"" OR ""dental practice"") ""book appointment"" -chain -franchise",,SearchAPI Real Discovery,enriched,live,2025-07-30T17:17:20.683148,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:35:27.900983,2025-07-30T17:17:20.683148
Urban Dental Clinic: Dentist in Fairview | Dentist Near You,urbandentalclinic.ca,https://urbandentalclinic.ca,2,Tier 2 - Gold,Dental,"Vancouver, BC",8,CAD,"CAD $96,667",96666.66666666669,CAD $268,267.96000000000004,0.886,49.5,Medium,Unknown,76,79,78,84,79.2,active,True,Platinum,Patient Scheduling Integration,Medium,7250.0,0.66,24 hours,Insurance verification portals reduce administrative overhead by 45%,Virtual consultation setup could serve 30% more patients,Professional website credibility directly impacts client acquisition,"site:*.ca ""vancouver"" (""dental clinic"" OR ""dental practice"") ""book appointment"" -chain -franchise",,SearchAPI Real Discovery,enriched,live,2025-07-30T17:17:20.683148,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:35:27.900983,2025-07-30T17:17:20.683148
Dentist Near Fraser | Expert Care & Emergency Services,mydentistvancouver.ca › dentist-near-fraser,https://mydentistvancouver.ca,2,Tier 2 - Gold,Dental,"Vancouver, BC",8,CAD,"CAD $96,667",96666.66666666669,CAD $244,243.6,0.886,49.5,Medium,Unknown,66,59,65,63,63.2,active,True,Platinum,Patient Scheduling Integration,Medium,7250.0,0.66,24 hours,Insurance verification portals reduce administrative overhead by 45%,Treatment cost calculators increase case acceptance by 40%,Professional website credibility directly impacts client acquisition,"site:*.ca ""vancouver"" (""dental clinic"" OR ""dental practice"") ""book appointment"" -chain -franchise",,SearchAPI Real Discovery,enriched,live,2025-07-30T17:17:20.683148,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:35:27.900983,2025-07-30T17:17:20.683148
